215;Fanny and Alexander (1982)
26;The Usual Suspects (1995)
89;Rashomon (1950)
231;A Fistful of Dollars (1964)
170;Life of Brian (1979)
107;Batman Begins (2005)
179;The Big Sleep (1946)
131;Fargo (1996)
163;Finding Nemo (2003)
39;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
216;Infernal Affairs (2002)
171;Into the Wild (2007)
13;One Flew Over the Cuckoo's Nest (1975)
54;American Beauty (1999)
127;Rebecca (1940)
187;Amores Perros (2000)
15;Seven Samurai (1954)
146;Casino (1995)
24;Once Upon a Time in the West (1968)
90;Some Like It Hot (1959)
49;Life Is Beautiful (1997)
125;Blade Runner (1982)
166;Notorious (1946)
196;Rush (2013)
100;Unforgiven (1992)
153;Kill Bill: Vol. 1 (2003)
93;Monty Python and the Holy Grail (1975)
206;Rocky (1976)
74;Cinema Paradiso (1988)
103;Raging Bull (1980)
109;Inglourious Basterds (2009)
235;Shutter Island (2010)
210;Stalag 17 (1953)
27;Raiders of the Lost Ark (1981)
141;The Sixth Sense (1999)
97;Witness for the Prosecution (1957)
51;The Departed (2006)
6;The Dark Knight (2008)
129;Ikiru (1952)
61;The Intouchables (2011)
56;Double Indemnity (1944)
86;Singin' in the Rain (1952)
169;How to Train Your Dragon (2010)
59;Aliens (1986)
164;My Neighbor Totoro (1988)
35;Terminator 2: Judgment Day (1991)
124;The Kid (1921)
167;Dial M for Murder (1954)
148;The Grapes of Wrath (1940)
62;Gladiator (2000)
34;Apocalypse Now (1979)
151;Sin City (2005)
21;City of God (2002)
43;Gravity (2013)
192;A Beautiful Mind (2001)
113;Toy Story (1995)
68;The Prestige (2006)
2;The Godfather (1972)
202;La Strada (1954)
70;Lawrence of Arabia (1962)
197;Black Swan (2010)
42;Spirited Away (2001)
77;The Third Man (1949)
182;The 400 Blows (1959)
145;Strangers on a Train (1951)
203;Anatomy of a Murder (1959)
144;Good Will Hunting (1997)
237;Incendies (2010)
19;The Matrix (1999)
5;The Good, the Bad and the Ugly (1966)
183;Twelve Monkeys (1995)
119;The General (1926)
176;There Will Be Blood (2007)
23;Se7en (1995)
126;Wild Strawberries (1957)
229;Ratatouille (2007)
104;The Bridge on the River Kwai (1957)
60;The Green Mile (1999)
212;The Wild Bunch (1969)
63;WALLúE (2008)
117;Pan's Labyrinth (2006)
82;Full Metal Jacket (1987)
172;The Best Years of Our Lives (1946)
189;Mary and Max (2009)
71;To Kill a Mockingbird (1962)
120;The Seventh Seal (1957)
80;Star Wars: Episode VI - Return of the Jedi (1983)
10;Fight Club (1999)
174;The Terminator (1984)
147;Judgment at Nuremberg (1961)
37;Saving Private Ryan (1998)
108;A Separation (2011)
186;Dog Day Afternoon (1975)
66;The Great Dictator (1940)
177;Ben-Hur (1959)
112;Snatch. (2000)
102;Indiana Jones and the Last Crusade (1989)
207;The Exorcist (1973)
224;Sleuth (1972)
9;The Lord of the Rings: The Return of the King (2003)
162;The Secret in Their Eyes (2009)
106;Yojimbo (1961)
22;The Silence of the Lambs (1991)
44;North by Northwest (1959)
221;Memories of Murder (2003)
140;No Country for Old Men (2007)
47;The Pianist (2002)
78;Once Upon a Time in America (1984)
211;Rope (1948)
46;Citizen Kane (1941)
17;Star Wars (1977)
227;A Streetcar Named Desire (1951)
194;The Killing (1956)
213;Barry Lyndon (1975)
76;The Treasure of the Sierra Madre (1948)
219;Life of Pi (2012)
128;Scarface (1983)
121;Heat (1995)
205;The Manchurian Candidate (1962)
132;Gran Torino (2008)
204;8.5 (1963)
99;The Sting (1973)
111;Mr. Smith Goes to Washington (1939)
181;Stand by Me (1986)
223;Harry Potter and the Deathly Hallows: Part 2 (2011)
16;Inception (2010)
228;Star Trek (2009)
40;Alien (1979)
191;The Bourne Ultimatum (2007)
248;Arsenic and Old Lace (1944)
67;A Clockwork Orange (1971)
161;Warrior (2011)
245;Bringing Up Baby (1938)
198;The Princess Bride (1987)
73;Das Boot (1981)
158;Annie Hall (1977)
115;The Great Escape (1963)
41;Modern Times (1936)
75;The Lion King (1994)
114;On the Waterfront (1954)
238;Rosemary's Baby (1968)
152;Butch Cassidy and the Sundance Kid (1969)
55;Django Unchained (2012)
33;American History X (1998)
156;Gone with the Wind (1939)
201;The Man Who Shot Liberty Valance (1962)
31;Leon: The Professional (1994)
244;Three Colors: Red (1994)
246;Mystic River (2003)
64;The Lives of Others (2006)
133;Touch of Evil (1958)
52;Paths of Glory (1957)
173;Network (1976)
233;The Hobbit: An Unexpected Journey (2012)
135;The Gold Rush (1925)
236;Rain Man (1988)
249;Before Sunrise (1995)
242;Nausica„ of the Valley of the Wind (1984)
45;Back to the Future (1985)
98;The Apartment (1960)
195;The Graduate (1967)
180;The King's Speech (2010)
91;Bicycle Thieves (1948)
88;Chinatown (1974)
220;Pirates of the Caribbean: The Curse of the Black Pearl (2003)
96;2001: A Space Odyssey (1968)
12;The Lord of the Rings: The Fellowship of the Ring (2001)
241;The Artist (2011)
29;It's a Wonderful Life (1946)
110;For a Few Dollars More (1965)
81;Eternal Sunshine of the Spotless Mind (2004)
85;Oldboy (2003)
160;The Hunt (2012)
234;District 9 (2009)
226;Jurassic Park (1993)
95;Amadeus (1984)
243;Beauty and the Beast (1991)
38;City Lights (1931)
230;Ip Man (2008)
200;The Hustler (1961)
218;Roman Holiday (1953)
143;Jaws (1975)
142;Lock, Stock and Two Smoking Barrels (1998)
69;Amelie (2001)
138;It Happened One Night (1934)
247;In the Heat of the Night (1967)
4;Pulp Fiction (1994)
92;All About Eve (1950)
150;Platoon (1986)
118;Up (2009)
209;In the Name of the Father (1993)
199;Who's Afraid of Virginia Woolf? (1966)
48;M (1931)
208;Slumdog Millionaire (2008)
79;Requiem for a Dream (2000)
178;The Night of the Hunter (1955)
184;Groundhog Day (1993)
239;La Haine (1995)
14;Goodfellas (1990)
225;Stalker (1979)
240;3 Idiots (2009)
157;High Noon (1952)
159;Hotel Rwanda (2004)
28;Rear Window (1954)
175;Million Dollar Baby (2004)
232;The Diving Bell and the Butterfly (2007)
185;Donnie Darko (2001)
1;The Shawshank Redemption (1994)
136;The Deer Hunter (1978)
122;The Elephant Man (1980)
168;The Avengers (2012)
149;The Wizard of Oz (1939)
139;Diabolique (1955)
137;Cool Hand Luke (1967)
8;Schindler's List (1993)
11;Star Wars: Episode V - The Empire Strikes Back (1980)
50;The Shining (1980)
87;Metropolis (1927)
123;The Maltese Falcon (1941)
101;Grave of the Fireflies (1988)
116;Downfall (2004)
30;Psycho (1960)
36;Memento (2000)
84;L.A. Confidential (1997)
3;The Godfather: Part II (1974)
250;Papillon (1973)
72;Reservoir Dogs (1992)
193;Persona (1966)
134;The Big Lebowski (1998)
155;Trainspotting (1996)
53;Vertigo (1958)
165;V for Vendetta (2005)
57;Taxi Driver (1976)
18;Forrest Gump (1994)
25;Casablanca (1942)
188;Howl's Moving Castle (2004)
130;Ran (1985)
154;The Thing (1982)
83;Braveheart (1995)
65;Toy Story 3 (2010)
222;All Quiet on the Western Front (1930)
58;The Dark Knight Rises (2012)
217;The Truman Show (1998)
7;12 Angry Men (1957)
190;Gandhi (1982)
20;The Lord of the Rings: The Two Towers (2002)
105;Die Hard (1988)
32;Sunset Blvd. (1950)
214;Monsters, Inc. (2001)
94;Princess Mononoke (1997)
